vs_name,vs_id,ftm_name,ftm_id 
international brotherhood of teamsters,1002,International Brotherhood Of Teamsters,52480340
international brotherhood of teamsters,1002,International Brotherhood Of Teamsters,52795450
international brotherhood of teamsters,1002,International Brotherhood Of Teamsters,54344752
international brotherhood of teamsters,1002,International Brotherhood Of Teamsters,54429685
national farmers union,1120,National Farmers Union,47147180
national farmers union,1120,National Farmers Union,9100586
american academy of emergency medicine,1117,American Academy Of Emergency Medicine,520190
bill stamp,2419,"Nys Budget, Voting Access Bill, Food Stamp Expansion Bill",39492722
bill stamp,2419,"Stamp, Bill",9573557
bill stamp,2419,"Stamp, Bill",9575070
bill stamp,2419,"Stamper, Bill",14790811
bill stamp,2419,"Stamper, Billie L",1892342
bill stamp,2419,"Stamper, William (Bill)",13012048
bill stamp,2419,"Stamphill, Billy",11165125
bill stamp,2419,"Stamps Jr, Bill",8970180
bill stamp,2419,"Stamps, Bill",13008869
bill stamp,2419,"Stamps, Bill",15349055
sustainable politician project,3130,TimeoutException,TimeoutException
resolve uganda,1876,TimeoutException,TimeoutException
information technology industry council,1155,Information Technology Industry Council,18928071
information technology industry council,1155,Information Technology Industry Council,55439687
change to win,2454,Change To Win,39488656
nextgen america,2563,Nextgen America,48108486
national lgbt chamber of commerce,2574,TimeoutException,TimeoutException
log cabin republicans,2338,Log Cabin Republicans,1565
log cabin republicans,2338,Log Cabin Republicans,43936473
log cabin republicans,2338,Log Cabin Republicans,47995644
united states hispanic chamber of commerce,2516,United States Hispanic Chamber Of Commerce,39503150
moveonorg political action,2055,TimeoutException,TimeoutException
utility workers union of america,1765,Utility Workers Union Of America,52404834
disabled american veterans,1336,Disabled American Veterans,10034648
disabled american veterans,1336,Disabled American Veterans,27638187
disabled american veterans,1336,Disabled American Veterans,27691537
disabled american veterans,1336,Disabled American Veterans,27704653
disabled american veterans,1336,Disabled American Veterans,39389118
disabled american veterans,1336,Disabled American Veterans,39487177
disabled american veterans,1336,Disabled American Veterans,44623815
disabled american veterans,1336,Disabled American Veterans,44631545
disabled american veterans,1336,Disabled American Veterans,44665709
disabled american veterans,1336,Disabled American Veterans,44672180
disabled american veterans,1336,Disabled American Veterans,44690903
disabled american veterans,1336,Disabled American Veterans,44702487
disabled american veterans,1336,Disabled American Veterans,44715472
disabled american veterans,1336,Disabled American Veterans,44756213
disabled american veterans,1336,Disabled American Veterans,44765219
disabled american veterans,1336,Disabled American Veterans,44792110
disabled american veterans,1336,Disabled American Veterans,44838555
disabled american veterans,1336,Disabled American Veterans,48504203
disabled american veterans,1336,Disabled American Veterans,48788864
disabled american veterans,1336,Disabled American Veterans,48921867
disabled american veterans,1336,Disabled American Veterans,49069066
disabled american veterans,1336,Disabled American Veterans,5706263
vote hemp,1184,Vote Hemp,39502369
vote hemp,1184,Vote Hemp,45180926
vote hemp,1184,Vote Hemp,47235235
vote hemp,1184,Vote Hemp,47686554
vote hemp,1184,Vote Hemp,47918891
the libertarian party,1115,Libertarian Party Brevard County The,44246167
the libertarian party,1115,Riverside County Central Cmte Of The Libertarian Party,2484395
the libertarian party,1115,The Libertarian Party Of Florida,39098368
the libertarian party,1115,The Lorain County Libertarian Party,25001116
population connection action fund,265,Population Connection Action Fund,28148074
population connection action fund,265,Population Connection Action Fund,39488634
stand against spying,2401,TimeoutException,TimeoutException
federation of american societies for experimental biology,651,Federation Of American Societies For Experimental Biology,39487796
national association of letter carriers nalc,3283,National Association Of Letter Carriers / Nalc,1530
national association of letter carriers nalc,3283,National Association Of Letter Carriers Nalc Branch 219,45397298
national association of letter carriers nalc,3283,National Association Of Letter Carriers-Nalc,52487719
techcrunch,2159,TimeoutException,TimeoutException
americans for prosperity action,2994,Americans For Prosperity Action,51106767
americans for prosperity action,2994,Americans For Prosperity Action,53795650
americans for prosperity action,2994,Americans For Prosperity Action,53917722
americans for prosperity action,2994,Americans For Prosperity Action,54256215
washington report on middle east affairs wrmea,990,TimeoutException,TimeoutException
freedomworks,1658,Freedomworks 2017 Committee,44009998
freedomworks,1658,Freedomworks For America,48876955
freedomworks,1658,Freedomworks Inc,12304
latino victory project,2504,Latino Victory Project,26354351
latino victory project,2504,Latino Victory Project,44639449
metals service center institute,2413,Metals Service Center Institute Msci,43592757
citizens united for rehabilitation of errants,1046,Citizens United For Rehabilitation Of Errants National Cure,43801659
fraternal order of police,2546,Fraternal Order Of Police,48322260
fraternal order of police,2546,Fraternal Order Of Police,48621682
fraternal order of police,2546,Fraternal Order Of Police,48855025
fraternal order of police,2546,Fraternal Order Of Police,48861129
fraternal order of police,2546,Fraternal Order Of Police,50818647
fraternal order of police,2546,Fraternal Order Of Police,52766003
fraternal order of police,2546,Fraternal Order Of Police,52766004
fraternal order of police,2546,Fraternal Order Of Police,52766005
fraternal order of police,2546,Fraternal Order Of Police,52766006
